pos	gpos	p1	ihh1	p2	ihh2	xpehh	normxpehh	crit
scaffold27_1746992	1746992	1.74699e+06	0.4	137.19	0.425	178.323	-0.262227	-1.16705	0
scaffold27_1746993	1746993	1.74699e+06	0.325	960.688	0.325	1270.22	-0.279294	-1.20697	0
scaffold27_1747002	1747002	1.747e+06	0.325	1869.76	0.5	4115.3	-0.788901	-2.39924	1
scaffold27_1747006	1747006	1.74701e+06	0.25	2036.49	0.175	4032.01	-0.683036	-2.15156	1
scaffold27_1747019	1747019	1.74702e+06	0.075	3585.55	0.425	5222.63	-0.376089	-1.43344	0
scaffold27_1747020	1747020	1.74702e+06	0.3	5136.98	0.1	10189.8	-0.684925	-2.15598	1
scaffold27_1747022	1747022	1.74702e+06	0.5	6911.75	0.15	10307.7	-0.399668	-1.4886	0
scaffold27_1747023	1747023	1.74702e+06	0.25	14512.4	0.225	14884.7	-0.0253304	-0.612805	0
scaffold27_1759823	1759823	1.75982e+06	0.075	23059.1	0.05	22434.4	0.0274632	-0.48929	0
scaffold27_1760070	1760070	1.76007e+06	0.15	24976.7	0.25	20000	0.222212	-0.0336579	0
scaffold27_1762677	1762677	1.76268e+06	0.075	30096.3	0.1	26387	0.131533	-0.245809	0
scaffold27_1762678	1762678	1.76268e+06	0.075	30096.3	0.1	26387	0.131533	-0.245809	0
scaffold27_1777883	1777883	1.77788e+06	0.05	31091.5	0.075	26966.9	0.142325	-0.22056	0
scaffold27_1777916	1777916	1.77792e+06	0.25	24939.6	0.325	20828.9	0.180116	-0.132145	0
scaffold27_1778096	1778096	1.7781e+06	0.075	30358.2	0.2	23286.7	0.265183	0.0668765	0
scaffold27_1825947	1825947	1.82595e+06	0.45	22241.7	0.3	20501.8	0.0814597	-0.36296	0
scaffold27_1825984	1825984	1.82598e+06	0.225	20401.2	0.475	17432.3	0.157267	-0.185602	0
scaffold27_1826002	1826002	1.826e+06	0.3	25154.8	0.175	25184.6	-0.00118312	-0.55631	0
scaffold27_1845355	1845355	1.84536e+06	0.25	27997.4	0.2	24725.8	0.124267	-0.262809	0
scaffold27_1845370	1845370	1.84537e+06	0.125	29025.7	0.05	28137.4	0.0310832	-0.48082	0
scaffold27_1845638	1845638	1.84564e+06	0.025	28961	0.1	24060.1	0.185392	-0.119802	0
scaffold27_1845700	1845700	1.8457e+06	0.2	28717.6	0.2	23561.2	0.197908	-0.0905192	0
scaffold27_1881911	1881911	1.88191e+06	0.375	22981.7	0.425	19953.6	0.141292	-0.222977	0
scaffold27_1881913	1881913	1.88191e+06	0.15	24548.5	0.15	20110.2	0.199423	-0.0869748	0
scaffold27_1882137	1882137	1.88214e+06	0.075	27233.7	0.15	22091.3	0.209273	-0.0639298	0
scaffold27_1927197	1927197	1.9272e+06	0	28659.7	0.1	22015.8	0.263733	0.0634841	0
scaffold27_1927204	1927204	1.9272e+06	0.175	22052.2	0.3	14996.5	0.385596	0.348593	0
scaffold27_1927225	1927225	1.92722e+06	0.1	18049.6	0.025	13864.4	0.263798	0.0636362	0
scaffold27_1927236	1927236	1.92724e+06	0.2	12355.9	0.05	12322.2	0.00272992	-0.547155	0
scaffold27_1927237	1927237	1.92724e+06	0.075	10051.8	0.1	8899.58	0.121746	-0.268707	0
scaffold27_1927421	1927421	1.92742e+06	0.075	9727.06	0.025	8911.69	0.0875479	-0.348716	0
scaffold280_176077	176077	176077	0.325	3902.89	0.35	3628.04	0.0730237	-0.382697	0
scaffold280_176079	176079	176079	0.325	3902.89	0.35	3628.04	0.0730237	-0.382697	0
scaffold280_176085	176085	176085	0.125	4718.76	0.075	4163.3	0.125238	-0.260537	0
scaffold280_176099	176099	176099	0.125	4718.76	0.025	4396.76	0.070679	-0.388183	0
scaffold280_176309	176309	176309	0.275	6473.22	0.35	4770.53	0.305216	0.160537	0
scaffold280_176328	176328	176328	0.025	11770	0.2	9620.34	0.201674	-0.0817084	0
scaffold280_176367	176367	176367	0.125	12347.7	0.025	13580.5	-0.0951659	-0.776191	0
scaffold280_176370	176370	176370	0.125	12347.7	0.025	13580.5	-0.0951659	-0.776191	0
scaffold280_186346	186346	186346	0.3	11792.9	0.075	13219.2	-0.114168	-0.820648	0
scaffold280_186378	186378	186378	0.1	12510.1	0.2	10723	0.154153	-0.192888	0
scaffold280_186389	186389	186389	0.45	11570.3	0.475	8566.35	0.300598	0.149733	0
scaffold280_186397	186397	186397	0.1	11654.9	0.25	8426.55	0.324342	0.205284	0
scaffold280_186569	186569	186569	0.075	12020.8	0.1	9546.73	0.230442	-0.0144031	0
scaffold280_186625	186625	186625	0.525	13491.2	0.5	11120.6	0.193236	-0.10145	0
scaffold280_186627	186627	186627	0.525	13491.2	0.5	11120.6	0.193236	-0.10145	0
scaffold280_186635	186635	186635	0.45	14018.8	0.475	11652.9	0.184848	-0.121074	0
scaffold280_323307	323307	323307	0.4	17522.1	0.425	13793.8	0.239247	0.00619695	0
scaffold280_323350	323350	323350	0	17754.5	0.175	11908.6	0.399382	0.380847	0
scaffold280_323364	323364	323364	0.275	16458.6	0.225	10312.1	0.467526	0.540276	0
scaffold280_323378	323378	323378	0	17867.1	0.175	12902.6	0.325528	0.208059	0
scaffold280_323586	323586	323586	0.425	14635.9	0.15	12409.9	0.164983	-0.16755	0
scaffold280_323621	323621	323621	0	19255.7	0.25	15039.3	0.247137	0.0246563	0
scaffold280_323624	323624	323624	0.625	18537.5	0.375	19145.2	-0.0322572	-0.629011	0
scaffold280_403487	403487	403487	0.475	20552.1	0.2	27051.5	-0.274781	-1.19642	0
scaffold280_403715	403715	403715	0.475	20552.1	0.2	27051.5	-0.274781	-1.19642	0
scaffold280_403725	403725	403725	0.475	20552.1	0.2	27051.5	-0.274781	-1.19642	0
scaffold280_403730	403730	403730	0.5	20043	0.275	25211.9	-0.229436	-1.09033	0
scaffold280_403751	403751	403751	0.475	20278.1	0.2	26354.5	-0.262097	-1.16674	0
scaffold280_410009	410009	410009	0.475	20273.8	0.175	26836.2	-0.280424	-1.20962	0
scaffold280_410242	410242	410242	0.575	18093.9	0.375	22599.6	-0.222357	-1.07377	0
scaffold280_410245	410245	410245	0.1	18012.3	0.175	22508.9	-0.222854	-1.07493	0
scaffold280_410252	410252	410252	0.575	18010.7	0.4	22173.2	-0.207919	-1.03999	0
scaffold280_410254	410254	410254	0.475	18011.5	0.2	22176.5	-0.208018	-1.04022	0
scaffold280_410266	410266	410266	0.35	17631.8	0.175	22541.6	-0.24566	-1.12829	0
scaffold280_410270	410270	410270	0.525	19887.8	0.4	25484.3	-0.247954	-1.13365	0
scaffold280_428722	428722	428722	0.175	21985.2	0	32130.8	-0.379446	-1.44129	0
scaffold280_428736	428736	428736	0.1	19587.6	0.025	31297.1	-0.468631	-1.64995	0
scaffold280_428737	428737	428737	0.5	17164.1	0.5	23631.2	-0.31975	-1.30163	0
scaffold280_428757	428757	428757	0.325	17345.9	0.45	23820.9	-0.317206	-1.29567	0
scaffold280_428766	428766	428766	0.325	17345.9	0.45	23820.9	-0.317206	-1.29567	0
scaffold280_428986	428986	428986	0.15	18962.3	0	23897.6	-0.231326	-1.09475	0
scaffold280_429036	429036	429036	0.325	22023.3	0.45	23829	-0.0788037	-0.73791	0
scaffold280_429037	429037	429037	0.325	22023.3	0.45	23829	-0.0788037	-0.73791	0
scaffold280_429038	429038	429038	0.325	22023.3	0.45	23829	-0.0788037	-0.73791	0
scaffold280_468770	468770	468770	0.025	26868.8	0.125	24754.3	0.081966	-0.361776	0
scaffold280_468812	468812	468812	0.025	26868.8	0.125	24754.3	0.081966	-0.361776	0
scaffold280_468817	468817	468817	0.025	25979.8	0.2	18322.3	0.349202	0.263446	0
scaffold280_468837	468837	468837	0.05	24431.5	0.3	15133.8	0.47894	0.56698	0
scaffold280_468839	468839	468839	0.55	16202.8	0.2	13344.9	0.19405	-0.0995454	0
scaffold280_468852	468852	468852	0	20069.9	0.1	14681.9	0.312607	0.177829	0
scaffold280_469039	469039	469039	0.025	20064.3	0.125	14557	0.320866	0.197152	0
scaffold280_469040	469040	469040	0.025	20064.3	0.125	14557	0.320866	0.197152	0
scaffold280_469050	469050	469050	0.025	21384.8	0.125	16020.1	0.288838	0.122219	0
scaffold280_469079	469079	469079	0.025	21384.8	0.125	16020.1	0.288838	0.122219	0
scaffold280_469083	469083	469083	0.225	18402	0	18762.4	-0.0193977	-0.598925	0
scaffold280_472134	472134	472134	0.4	15056.8	0.35	15386	-0.0216239	-0.604133	0
scaffold280_472339	472339	472339	0.325	20494.1	0.025	18310.4	0.112666	-0.28995	0
scaffold280_472354	472354	472354	0.5	20728.6	0.475	16833.3	0.208157	-0.0665408	0
scaffold280_472355	472355	472355	0.275	30553.6	0.025	28791.7	0.059394	-0.414585	0
scaffold280_472373	472373	472373	0.25	32810.6	0.025	28791.7	0.130664	-0.247842	0
scaffold280_525656	525656	525656	0.15	42643	0.2	25543.9	0.512463	0.64541	0
scaffold280_525866	525866	525866	0.225	40251.2	0.45	20810.8	0.659669	0.989811	0
scaffold280_525881	525881	525881	0.075	45068.2	0.225	25558.7	0.567198	0.773467	0
scaffold280_546049	546049	546049	0.05	45271.8	0.225	24003	0.634506	0.93094	0
scaffold280_546068	546068	546068	0.05	45271.8	0.225	24003	0.634506	0.93094	0
scaffold280_546102	546102	546102	0.25	37979.7	0.275	25712.3	0.390083	0.359091	0
scaffold280_563681	563681	563681	0.75	39592	0.4	25074	0.456798	0.515176	0
scaffold280_563714	563714	563714	0.075	47423.8	0.05	35893.3	0.278574	0.0982059	0
scaffold280_639273	639273	639273	0.125	41489	0.175	30753.7	0.29942	0.146977	0
scaffold280_639277	639277	639277	0.75	35378	0.45	24544.4	0.365607	0.301827	0
scaffold280_639335	639335	639335	0.725	34898.7	0.425	25050.9	0.331542	0.222129	0
scaffold280_639521	639521	639521	0.175	35268.1	0.175	36540	-0.0354308	-0.636436	0
scaffold280_662879	662879	662879	0.225	30802.9	0.05	44397.6	-0.365575	-1.40884	0
scaffold280_694132	694132	694132	0.4	19664.5	0.025	43549.6	-0.795085	-2.41371	1
scaffold280_694137	694137	694137	0.8	16234.2	0.15	33633.7	-0.72841	-2.25772	1
scaffold280_702197	702197	702197	0.175	14590.7	0.025	34140.3	-0.850096	-2.54242	1
scaffold280_702222	702222	702222	0.275	11473.9	0.125	28889	-0.923387	-2.71389	1
scaffold280_702227	702227	702227	0.075	11354	0.075	28829.1	-0.931818	-2.73361	1
scaffold280_702247	702247	702247	0.25	9745.66	0.1	28828.5	-1.08454	-3.09092	1
scaffold280_702249	702249	702249	0.075	9871.79	0.075	28836.4	-1.07196	-3.06149	1
scaffold280_702452	702452	702452	0	8672.85	0.4	12960.3	-0.401696	-1.49334	0
scaffold280_702479	702479	702479	0.1	6401.77	0.125	10937.6	-0.535628	-1.80669	0
scaffold280_702480	702480	702480	0.225	6453.05	0.025	11169.2	-0.548609	-1.83706	0
scaffold280_702528	702528	702528	0.3	6474.4	0.125	11158.7	-0.544362	-1.82712	0
scaffold280_702538	702538	702538	0.3	6474.4	0.125	11158.7	-0.544362	-1.82712	0
scaffold280_703585	703585	703585	0.125	4853.8	0.025	10624.6	-0.783408	-2.38639	1
scaffold280_703781	703781	703781	0.025	4355.09	0.375	9984.96	-0.829735	-2.49478	1
scaffold281_48191	48191	48191	0.65	23409.8	0.25	36007.1	-0.430559	-1.56087	0
scaffold281_48487	48487	48487	0.65	23409.8	0.25	36007.1	-0.430559	-1.56087	0
scaffold281_81020	81020	81020	0.25	31647	0.125	42746.7	-0.300649	-1.25694	0
scaffold281_109993	109993	109993	0.05	37874.3	0.05	45870.7	-0.191553	-1.0017	0
scaffold281_110235	110235	110235	0.05	37874.3	0.05	45870.7	-0.191553	-1.0017	0
scaffold281_110256	110256	110256	0.25	28649.8	0.025	44226.1	-0.434168	-1.56932	0
scaffold281_110272	110272	110272	0.3	28673.8	0.275	34851.1	-0.1951	-1.01	0
scaffold281_110283	110283	110283	0.25	28391.5	0.2	35370.8	-0.219795	-1.06777	0
scaffold281_110285	110285	110285	0.25	28397.1	0.025	43096.9	-0.417164	-1.52953	0
scaffold281_116755	116755	116755	0.7	27572.8	0.375	37272.6	-0.301428	-1.25876	0
scaffold281_116756	116756	116756	0.15	30369.8	0.05	40673.8	-0.292134	-1.23702	0
scaffold281_116788	116788	116788	0.05	30389.2	0.05	40623	-0.290245	-1.2326	0
scaffold281_119489	119489	119489	0.15	30164.2	0.1	39221.8	-0.262576	-1.16786	0
scaffold281_119502	119502	119502	0.2	30055.1	0.1	39113.9	-0.263446	-1.1699	0
scaffold281_119776	119776	119776	0.15	30066	0.075	39415.4	-0.270761	-1.18701	0
scaffold281_119823	119823	119823	0.2	30125.5	0.15	39462.9	-0.269989	-1.1852	0
scaffold281_119844	119844	119844	0.2	30125.5	0.15	39462.9	-0.269989	-1.1852	0
scaffold281_129200	129200	129200	0.05	37002.4	0.05	42144.3	-0.130117	-0.857962	0
scaffold281_129239	129239	129239	0.65	32792.6	0.275	37030.1	-0.12153	-0.837872	0
scaffold281_131050	131050	131050	0.625	31435.1	0.35	36987.6	-0.162656	-0.93409	0
scaffold281_131051	131051	131051	0.625	31435.1	0.35	36987.6	-0.162656	-0.93409	0
scaffold281_131082	131082	131082	0.625	32284.8	0.35	36987.6	-0.135985	-0.871691	0
scaffold281_131366	131366	131366	0.05	32525	0.05	36931.4	-0.127053	-0.850794	0
scaffold281_131394	131394	131394	0.65	35207.1	0.4	38073.7	-0.0782759	-0.736675	0
scaffold281_131564	131564	131564	0.05	42755.8	0.075	47115.9	-0.0971047	-0.780727	0
scaffold281_188392	188392	188392	0.6	38292.6	0.3	42189.7	-0.0969202	-0.780295	0
scaffold281_188431	188431	188431	0.6	38292.6	0.2	41301.5	-0.0756413	-0.730512	0
scaffold281_188670	188670	188670	0.6	38292.6	0.3	41475.3	-0.0798416	-0.740339	0
scaffold281_188686	188686	188686	0	38303.4	0.125	41642.4	-0.083579	-0.749083	0
scaffold281_188714	188714	188714	0.6	38293.2	0.325	42799.9	-0.111265	-0.813856	0
scaffold281_211357	211357	211357	0.6	38293.2	0.275	43913.1	-0.136942	-0.87393	0
scaffold281_211371	211371	211371	0.6	38293.2	0.275	43913.1	-0.136942	-0.87393	0
scaffold281_211401	211401	211401	0.6	38293.2	0.275	43913.1	-0.136942	-0.87393	0
scaffold281_211621	211621	211621	0.6	38293.2	0.275	43913.1	-0.136942	-0.87393	0
scaffold281_287731	287731	287731	0.5	23879.1	0.45	27563.8	-0.143502	-0.889278	0
scaffold281_287773	287773	287773	0.125	20180.3	0.025	25095.8	-0.217992	-1.06355	0
scaffold281_287796	287796	287796	0.5	13972.9	0.5	20210.1	-0.369065	-1.417	0
scaffold281_287985	287985	287985	0.125	18429.2	0.35	15936.2	0.145348	-0.213488	0
scaffold281_293442	293442	293442	0.225	15760.2	0.1	18684.2	-0.170189	-0.951714	0
scaffold281_293470	293470	293470	0.8	19262.9	0.325	14458.2	0.286916	0.117723	0
scaffold281_293487	293487	293487	0	25756.7	0.175	15150.6	0.530656	0.687974	0
scaffold281_293521	293521	293521	0	25758.1	0.1	21176.6	0.19585	-0.0953341	0
scaffold281_321691	321691	321691	0.075	22966.2	0.075	20627.5	0.107399	-0.302273	0
scaffold281_323649	323649	323649	0.5	13189.3	0.5	12457.1	0.0571126	-0.419922	0
scaffold281_323659	323659	323659	0.4	10309.8	0.15	13265.5	-0.252066	-1.14327	0
scaffold281_323676	323676	323676	0.125	9128.77	0.025	12731	-0.332605	-1.3317	0
scaffold281_323679	323679	323679	0.125	9128.77	0.025	12731	-0.332605	-1.3317	0
scaffold281_323683	323683	323683	0.4	9716.6	0.15	12728.9	-0.27004	-1.18532	0
scaffold281_323699	323699	323699	0.325	9314.46	0.425	11475	-0.208607	-1.0416	0
scaffold281_323726	323726	323726	0.3	9581.66	0.375	11115.9	-0.148524	-0.901027	0
scaffold281_323736	323736	323736	0.5	9589.29	0.5	10894.2	-0.127586	-0.852041	0
scaffold281_323835	323835	323835	0.55	9422.1	0.475	11682.2	-0.21501	-1.05658	0
scaffold281_323884	323884	323884	0.3	13775	0.375	16932.2	-0.206362	-1.03634	0
scaffold281_399035	399035	399035	0.4	12333.7	0.1	23485.7	-0.644054	-2.06036	1
scaffold281_399063	399063	399063	0.1	11109.6	0.075	23380.9	-0.74411	-2.29445	1
scaffold281_399070	399070	399070	0.125	8822.36	0.025	23446.2	-0.977421	-2.8403	1
scaffold281_399071	399071	399071	0.2	6369.22	0.075	20949.7	-1.19065	-3.33917	1
scaffold281_399076	399076	399076	0.275	6187.98	0.025	21275.9	-1.23497	-3.44286	1
scaffold281_399077	399077	399077	0.125	6945.17	0.025	21281.3	-1.11978	-3.17336	1
scaffold281_399085	399085	399085	0	7062.08	0.125	19097.8	-0.994832	-2.88104	1
scaffold281_399098	399098	399098	0.475	4549.2	0.25	16455	-1.28568	-3.5615	1
scaffold281_399264	399264	399264	0.15	5228.24	0	17295.5	-1.19637	-3.35255	1
scaffold281_399344	399344	399344	0	6153.16	0.125	17265	-1.03172	-2.96734	1
scaffold281_401859	401859	401859	0.3	5356.37	0.025	17480.4	-1.18279	-3.32078	1
scaffold281_401860	401860	401860	0.3	5356.37	0.025	17480.4	-1.18279	-3.32078	1
scaffold281_401864	401864	401864	0.1	6346.71	0.025	17480.4	-1.01314	-2.92387	1
scaffold281_401865	401865	401865	0.675	5254.2	0.425	13397.4	-0.936032	-2.74347	1
scaffold281_401867	401867	401867	0.1	9382.85	0.025	19720.5	-0.742776	-2.29133	1
scaffold281_401890	401890	401890	0.25	10207	0.025	19720.5	-0.658587	-2.09436	1
scaffold281_401937	401937	401937	0.35	10566.6	0.275	18614.2	-0.566224	-1.87827	0
scaffold281_401942	401942	401942	0.3	10481.9	0.175	18619.7	-0.574569	-1.8978	0
scaffold281_402134	402134	402134	0.125	10709.5	0.05	18562.8	-0.550027	-1.84038	0
scaffold281_402148	402148	402148	0.35	15362	0.275	21727.9	-0.346701	-1.36468	0
scaffold281_402160	402160	402160	0	17219	0.125	26091.9	-0.415613	-1.5259	0
scaffold281_402178	402178	402178	0	17217.5	0.125	27999.3	-0.486257	-1.69118	0
scaffold281_402184	402184	402184	0	17217.5	0.125	27999.3	-0.486257	-1.69118	0
scaffold281_402186	402186	402186	0	17217.5	0.125	27999.3	-0.486257	-1.69118	0
scaffold281_402220	402220	402220	0.275	17192.5	0.05	33257	-0.659791	-2.09718	1
scaffold281_418364	418364	418364	0.325	19045.8	0.125	33286.5	-0.558309	-1.85975	0
scaffold281_469647	469647	469647	0.425	17726.6	0.05	34569.5	-0.667903	-2.11616	1
scaffold281_469693	469693	469693	0	17801.2	0.175	26833.1	-0.410368	-1.51363	0
scaffold281_469862	469862	469862	0.425	13152.5	0.075	27920.6	-0.752749	-2.31466	1
scaffold281_469866	469866	469866	0.425	13152.5	0.075	27920.6	-0.752749	-2.31466	1
scaffold281_469867	469867	469867	0.95	11356.7	0.475	14429.3	-0.239454	-1.11377	0
scaffold281_469868	469868	469868	0.525	11358.9	0.4	14964.4	-0.275669	-1.19849	0
scaffold281_469874	469874	469874	0.95	15998.4	0.475	14605.2	0.0911174	-0.340365	0
scaffold281_469909	469909	469909	0.525	17063.1	0.4	16101.9	0.0579832	-0.417885	0
scaffold281_480547	480547	480547	0.15	21035.9	0.25	19355.9	0.0832334	-0.35881	0
scaffold281_480784	480784	480784	0.225	22282.7	0.15	23771.3	-0.0646714	-0.704847	0
scaffold281_511711	511711	511711	0.1	23951	0.025	26074.2	-0.0849345	-0.752254	0
scaffold281_511753	511753	511753	0.6	14551	0.425	13952.2	0.0420191	-0.455235	0
scaffold281_512006	512006	512006	0	14725.9	0.1	12809.7	0.1394	-0.227404	0
scaffold281_512040	512040	512040	0.025	14231.1	0.125	12289.4	0.146698	-0.210329	0
scaffold281_512041	512041	512041	0.1	13135.9	0.15	11362.7	0.145016	-0.214265	0
scaffold281_512065	512065	512065	0.35	15001.9	0.45	11047.6	0.305965	0.16229	0
scaffold281_512067	512067	512067	0.05	22956.7	0.125	17732.9	0.25819	0.0505157	0
scaffold281_512071	512071	512071	0	24867.7	0.125	20359.7	0.200015	-0.0855897	0
scaffold281_533746	533746	533746	0.125	22217.4	0.05	22002.4	0.00972602	-0.530787	0
scaffold281_533766	533766	533766	0.1	22117.7	0.05	22002.4	0.00522599	-0.541316	0
scaffold281_533951	533951	533951	0.125	22115.5	0.05	22002.4	0.00512765	-0.541546	0
scaffold281_533960	533960	533960	0.1	18183.5	0.3	13245.9	0.316827	0.187702	0
scaffold281_533981	533981	533981	0.125	18396.1	0.05	14115.9	0.264834	0.06606	0
scaffold281_533990	533990	533990	0.325	13930.7	0.5	10822.5	0.252469	0.037131	0
scaffold281_534550	534550	534550	0.175	13311.4	0.275	13225.9	0.00644293	-0.538468	0
scaffold281_534567	534567	534567	0.025	13306.4	0.2	13147.5	0.0120136	-0.525435	0
scaffold281_534587	534587	534587	0.15	11733.9	0.25	12557.9	-0.0678682	-0.712326	0
scaffold281_534593	534593	534593	0.1	11910.1	0.025	12974.7	-0.0856158	-0.753848	0
scaffold281_534618	534618	534618	0.1	11910.1	0.025	12974.7	-0.0856158	-0.753848	0
scaffold281_534793	534793	534793	0.2	11180.3	0.275	12926.1	-0.145087	-0.892986	0
scaffold281_534798	534798	534798	0.2	12957.2	0.275	13682.2	-0.054438	-0.680905	0
scaffold281_534801	534801	534801	0.75	13136.8	0.475	15704.9	-0.178552	-0.97128	0
scaffold281_534837	534837	534837	0.75	15074.1	0.475	17402	-0.143605	-0.889519	0
scaffold281_681388	681388	681388	0.325	15040.4	0.15	24992.3	-0.507831	-1.74166	0
scaffold281_681424	681424	681424	0.325	15040.4	0.15	24992.3	-0.507831	-1.74166	0
scaffold281_681644	681644	681644	0.25	11551.5	0.025	24366.7	-0.746403	-2.29982	1
scaffold281_681667	681667	681667	0.325	15629.9	0.15	25171.2	-0.476514	-1.66839	0
scaffold281_718817	718817	718817	0.1	17413.4	0.025	26674.9	-0.426486	-1.55134	0
scaffold281_718830	718830	718830	0.35	9797.43	0.2	20001.8	-0.713702	-2.22331	1
scaffold281_718840	718840	718840	0.1	9833.67	0.025	20021.4	-0.710991	-2.21697	1
scaffold281_718859	718859	718859	0.1	9833.67	0.025	20021.4	-0.710991	-2.21697	1
scaffold281_718864	718864	718864	0.675	6423.84	0.45	11918.1	-0.61804	-1.9995	0
scaffold281_719052	719052	719052	0.3	5857.24	0.175	11732.7	-0.6947	-2.17885	1
scaffold281_719103	719103	719103	0.225	4945.81	0.175	10921.6	-0.792206	-2.40698	1
scaffold281_719126	719126	719126	0.65	4823.17	0.45	10898.4	-0.815189	-2.46075	1
scaffold281_719139	719139	719139	0.425	4820.69	0.275	10898	-0.815658	-2.46185	1
scaffold282_294971	294971	294971	0.35	11299.4	0.225	10241.4	0.0983033	-0.323553	0
scaffold282_294992	294992	294992	0	22896.8	0.175	17065.8	0.293922	0.134114	0
scaffold282_295007	295007	295007	0.1	22893	0.025	22876.5	0.000721761	-0.551854	0
scaffold282_401457	401457	401457	0.075	24619.4	0.1	21755.9	0.123651	-0.26425	0
scaffold282_401465	401465	401465	0.375	17006.6	0.15	17650.8	-0.037179	-0.640526	0
scaffold282_401474	401474	401474	0	20995.5	0.125	16768.6	0.224803	-0.027596	0
scaffold282_401500	401500	401500	0.15	19256.8	0.025	18740.7	0.0271675	-0.489981	0
scaffold282_401802	401802	401802	0.075	22352	0.125	18480.1	0.190222	-0.108501	0
scaffold282_410218	410218	410218	0.45	19475.4	0.35	16661.8	0.156033	-0.188489	0
scaffold282_410219	410219	410219	0.45	19475.4	0.35	16661.8	0.156033	-0.188489	0
scaffold282_410220	410220	410220	0.45	19475.4	0.35	16661.8	0.156033	-0.188489	0
scaffold282_410223	410223	410223	0.45	19475.4	0.35	16661.8	0.156033	-0.188489	0
scaffold282_422403	422403	422403	0	26852.5	0.1	18186	0.389704	0.358204	0
scaffold282_422404	422404	422404	0	26852.5	0.25	13721.3	0.671409	1.01728	0
scaffold282_422416	422416	422416	0	26852.5	0.25	13721.3	0.671409	1.01728	0
scaffold282_422485	422485	422485	0.125	23885.8	0	14263.1	0.515604	0.652758	0
scaffold282_422628	422628	422628	0	27413.5	0.1	12445.1	0.789712	1.29406	0
scaffold282_422644	422644	422644	0.025	26804.6	0.275	9715.42	1.01486	1.82081	0
scaffold282_422659	422659	422659	0.525	22194.5	0.3	8399.33	0.971693	1.71982	0
scaffold282_422663	422663	422663	0.025	21753.3	0.3	8234.95	0.97138	1.71909	0
scaffold283_19913	19913	19913	0.15	17131.2	0.025	23885.3	-0.332363	-1.33113	0
scaffold283_20074	20074	20074	0.5	22941.3	0.5	24146.2	-0.0511856	-0.673295	0
scaffold283_43115	43115	43115	0.5	22941.3	0.475	25301	-0.0979053	-0.7826	0
scaffold283_43176	43176	43176	0.225	29800.1	0.05	36158.2	-0.193392	-1.006	0
scaffold283_92203	92203	92203	0.475	35710.4	0.475	32934.4	0.0809258	-0.364209	0
scaffold283_92270	92270	92270	0.525	35710.4	0.475	31533.8	0.124382	-0.26254	0
scaffold283_92290	92290	92290	0.075	33927.7	0.175	28490.7	0.174653	-0.144926	0
scaffold283_92436	92436	92436	0.475	33896.8	0.475	29798.3	0.128868	-0.252044	0
scaffold283_92448	92448	92448	0.075	33906.1	0.175	29797.6	0.129167	-0.251345	0
scaffold283_92502	92502	92502	0.475	36229.2	0.475	34702.8	0.0430459	-0.452833	0
scaffold283_135380	135380	135380	0.15	50806.6	0.075	52770.2	-0.0379203	-0.64226	0
scaffold283_135389	135389	135389	0.15	50806.6	0.1	52205.5	-0.0271616	-0.617089	0
scaffold283_174550	174550	174550	0.025	55939.7	0.1	50905.2	0.0943093	-0.332897	0
scaffold283_174552	174552	174552	0.025	55939.7	0.1	50905.2	0.0943093	-0.332897	0
scaffold283_259532	259532	259532	0.2	44899.1	0.05	49858.5	-0.104772	-0.798665	0
scaffold283_259727	259727	259727	0.25	40785.1	0.2	38974.6	0.0454084	-0.447305	0
scaffold283_259778	259778	259778	0.25	40785.1	0.175	39251	0.0383406	-0.463841	0
scaffold283_259789	259789	259789	0.2	31265.9	0.1	37305.9	-0.176625	-0.966772	0
scaffold283_259791	259791	259791	0.125	33082.3	0.025	38828.3	-0.160151	-0.928229	0
scaffold283_261846	261846	261846	0.15	30886	0.075	36638	-0.170783	-0.953104	0
scaffold283_261852	261852	261852	0.125	26641	0.075	34339.2	-0.253837	-1.14742	0
scaffold283_261856	261856	261856	0.25	24582.2	0.225	26772.8	-0.085363	-0.753256	0
scaffold283_261892	261892	261892	0.15	18691.6	0.075	22063.7	-0.165856	-0.941577	0
scaffold283_262121	262121	262121	0.075	22679.4	0.15	21872.5	0.0362264	-0.468787	0
scaffold283_262123	262123	262123	0.35	22464.7	0.425	22239.8	0.0100623	-0.530001	0
scaffold283_262126	262126	262126	0.15	27210	0.075	26992.3	0.0080324	-0.53475	0
scaffold283_262136	262136	262136	0.075	31924.4	0.175	25420.8	0.227802	-0.0205796	0
scaffold283_262161	262161	262161	0	35453.2	0.175	26552.8	0.289077	0.122779	0
scaffold283_262165	262165	262165	0.15	35413.3	0.1	36911.1	-0.0414236	-0.650456	0
scaffold283_282007	282007	282007	0.2	35057.6	0.125	36581.1	-0.042541	-0.653071	0
scaffold283_282074	282074	282074	0.2	35057.6	0.125	36581.1	-0.042541	-0.653071	0
scaffold283_328223	328223	328223	0.35	28006.7	0.475	23664.9	0.168451	-0.159436	0
scaffold283_328273	328273	328273	0.25	27063.7	0.375	21362.5	0.236555	-0.000101216	0
scaffold283_328296	328296	328296	0.075	26741.8	0.1	21460.4	0.220019	-0.0387886	0
scaffold283_328509	328509	328509	0.075	26694.5	0.1	21460.4	0.218246	-0.0429367	0
